Time,Frequencies (GHz),Data (dBm)
16:29,13.998000000000001,-61.183998
16:29,13.998909090909091,-60.535999
16:29,13.999818181818183,-59.972
16:29,14.000727272727273,-57.408001
16:29,14.001636363636365,-56.216
16:29,14.002545454545455,-57.243999
16:29,14.003454545454547,-56.436001
16:29,14.004363636363637,-57.223999
16:29,14.005272727272729,-57.723999
16:29,14.006181818181819,-57.411999
16:29,14.00709090909091,-56.82
16:29,14.008000000000001,-57.16
16:29,14.008909090909093,-56.192001
16:29,14.009818181818183,-55.155998
16:29,14.010727272727275,-55.612
16:29,14.011636363636365,-53.355999
16:29,14.012545454545455,-54.751999
16:29,14.013454545454547,-53.431999
16:29,14.014363636363637,-56.484001
16:29,14.015272727272729,-56.703999
16:29,14.016181818181819,-56.015999
16:29,14.01709090909091,-56.063999
16:29,14.018,-56.408001
16:29,14.018909090909093,-55.472
16:29,14.019818181818183,-57.056
16:29,14.020727272727274,-56.348
16:29,14.021636363636365,-52.304001
16:29,14.022545454545456,-53.532001
16:29,14.023454545454547,-53.18
16:29,14.024363636363637,-51.860001
16:29,14.025272727272728,-53.472
16:29,14.026181818181819,-54.956001
16:29,14.02709090909091,-55.515999
16:29,14.028,-55.652
16:29,14.028909090909092,-56.723999
16:29,14.029818181818182,-55.472
16:29,14.030727272727274,-56.231998
16:29,14.031636363636364,-58.175999
16:29,14.032545454545456,-52.824001
16:29,14.033454545454546,-53.664001
16:29,14.034363636363638,-56.588001
16:29,14.035272727272728,-53.987999
16:29,14.03618181818182,-53.375999
16:29,14.03709090909091,-56.956001
16:29,14.038,-57.015999
16:29,14.038909090909092,-57.959999
16:29,14.039818181818182,-58.888
16:29,14.040727272727274,-60.816002
16:29,14.041636363636364,-61.375999
16:29,14.042545454545456,-61.523998
16:29,14.043454545454546,-61.424
16:29,14.044363636363638,-61.472
16:29,14.045272727272728,-61.372002
16:29,14.04618181818182,-61.259998
16:29,14.04709090909091,-61.192001
16:29,14.048000000000002,-60.82
16:29,14.048909090909092,-61.116001
16:29,14.049818181818184,-60.936001
16:29,14.050727272727274,-60.959999
16:29,14.051636363636364,-61.352001
16:29,14.052545454545456,-61.175999
16:29,14.053454545454546,-61.063999
16:29,14.054363636363638,-61.327999
16:29,14.055272727272728,-60.976002
16:29,14.05618181818182,-60.771999
16:29,14.05709090909091,-61.028
16:29,14.058000000000002,-60.624001
16:29,14.058909090909092,-61.0
16:29,14.059818181818184,-60.751999
16:29,14.060727272727274,-61.116001
16:29,14.061636363636365,-58.728001
16:29,14.062545454545456,-54.68
16:29,14.063454545454547,-52.448002
16:29,14.064363636363638,-53.388
16:29,14.065272727272728,-51.279999
16:29,14.06618181818182,-53.271999
16:29,14.06709090909091,-50.655998
16:29,14.068000000000001,-45.984001
16:29,14.068909090909091,-47.088001
16:29,14.069818181818183,-50.259998
16:29,14.070727272727273,-48.716
16:29,14.071636363636365,-50.639999
16:29,14.072545454545455,-50.276001
16:29,14.073454545454547,-46.916
16:29,14.074363636363637,-47.779999
16:29,14.07527272727273,-51.220001
16:29,14.07618181818182,-49.408001
16:29,14.07709090909091,-51.091999
16:29,14.078000000000001,-50.919998
16:29,14.078909090909091,-47.040001
16:29,14.079818181818183,-50.060001
16:29,14.080727272727273,-51.804001
16:29,14.081636363636365,-52.880001
16:29,14.082545454545455,-50.908001
16:29,14.083454545454547,-49.063999
16:29,14.084363636363637,-47.256001
16:29,14.085272727272729,-50.612
16:29,14.086181818181819,-53.784
16:29,14.08709090909091,-50.776001
16:29,14.088000000000001,-54.076
16:29,14.088909090909093,-49.639999
16:29,14.089818181818183,-47.799999
16:29,14.090727272727273,-54.375999
16:29,14.091636363636365,-50.155998
16:29,14.092545454545455,-51.551998
16:29,14.093454545454547,-54.004002
16:29,14.094363636363637,-53.431999
16:29,14.095272727272729,-53.748001
16:29,14.096181818181819,-54.599998
16:29,14.09709090909091,-49.299999
16:29,14.098,-48.768002
16:29,14.098909090909093,-51.063999
16:29,14.099818181818183,-53.043999
16:29,14.100727272727275,-53.804001
16:29,14.101636363636365,-52.776001
16:29,14.102545454545456,-47.636002
16:29,14.103454545454547,-48.360001
16:29,14.104363636363637,-49.987999
16:29,14.105272727272729,-53.188
16:29,14.106181818181819,-51.591999
16:29,14.10709090909091,-51.948002
16:29,14.108,-48.588001
16:29,14.108909090909092,-48.712002
16:29,14.109818181818182,-52.487999
16:29,14.110727272727274,-50.316002
